x y1 y2 y3 y4 y5 y dy1 dy2 dy3 dy4 dy5 dy
8.400000 0.354984 0.118213 0.027563 0.002878 0.000029 0.100734 -0.016809 -0.013876 -0.006382 -0.001297 -0.000031 -0.007679
8.500000 0.353317 0.116841 0.026936 0.002752 0.000027 0.099975 -0.016535 -0.013558 -0.006167 -0.001227 -0.000027 -0.007503
8.600000 0.351677 0.115501 0.026330 0.002633 0.000024 0.099233 -0.016269 -0.013251 -0.005962 -0.001162 -0.000025 -0.007334
8.700000 0.350063 0.114191 0.025743 0.002519 0.000022 0.098508 -0.016010 -0.012954 -0.005766 -0.001100 -0.000022 -0.007170
8.800000 0.348475 0.112910 0.025176 0.002412 0.000020 0.097799 -0.015758 -0.012667 -0.005578 -0.001043 -0.000020 -0.007013
8.900000 0.346911 0.111657 0.024628 0.002311 0.000018 0.097105 -0.015513 -0.012389 -0.005398 -0.000989 -0.000018 -0.006861
9.000000 0.345372 0.110432 0.024096 0.002215 0.000016 0.096426 -0.015274 -0.012121 -0.005226 -0.000938 -0.000016 -0.006715
9.100000 0.343856 0.109233 0.023582 0.002123 0.000015 0.095762 -0.015042 -0.011860 -0.005061 -0.000890 -0.000014 -0.006573
9.200000 0.342363 0.108059 0.023084 0.002036 0.000013 0.095111 -0.014815 -0.011608 -0.004902 -0.000845 -0.000013 -0.006437
9.300000 0.340893 0.106911 0.022601 0.001954 0.000012 0.094474 -0.014595 -0.011364 -0.004751 -0.000803 -0.000012 -0.006305
9.400000 0.339444 0.105786 0.022134 0.001876 0.000011 0.093850 -0.014379 -0.011128 -0.004605 -0.000764 -0.000010 -0.006177
9.500000 0.338017 0.104685 0.021680 0.001801 0.000010 0.093239 -0.014169 -0.010899 -0.004465 -0.000726 -0.000009 -0.006054
9.600000 0.336610 0.103606 0.021240 0.001730 0.000009 0.092639 -0.013965 -0.010676 -0.004331 -0.000691 -0.000008 -0.005934
9.700000 0.335224 0.102549 0.020814 0.001663 0.000008 0.092052 -0.013765 -0.010461 -0.004202 -0.000658 -0.000008 -0.005819
9.800000 0.333857 0.101514 0.020400 0.001599 0.000007 0.091475 -0.013570 -0.010252 -0.004078 -0.000626 -0.000007 -0.005707
9.900000 0.332510 0.100499 0.019998 0.001538 0.000007 0.090910 -0.013380 -0.010049 -0.003959 -0.000597 -0.000006 -0.005598
10.000000 0.331181 0.099504 0.019608 0.001479 0.000006 0.090356 -0.013194 -0.009852 -0.003845 -0.000569 -0.000006 -0.005493
